,Antecedentes,Edad,Expect.,Pension,Salario Base,Semanas Cotizadas,Sexo
0,No,71.0,65.39162196572295,1249954.1165227545,1496038.4967787848,1060.0,F
1,No,68.0,65.05867973893606,477954.3687354339,864827.731369896,750.0,M
2,Si,54.0,64.60845390630573,1029554.989618572,894137.2718440094,1584.0,M
3,Si,51.0,63.62472935411918,348872.02707556,1838338.0674676127,231.0,F
4,No,66.0,65.10276392241227,3091414.1294107772,3548871.9300445085,1056.0,F
5,No,86.0,67.89232949776155,138820.4113146441,1238977.65919059,0.0,M
6,No,64.0,64.60436799926752,5233587.8507346045,3158557.6492067035,2254.0,M
7,No,59.0,63.64428143648225,1692527.740315525,1791023.8348241653,1230.0,M
8,No,37.0,59.61492183732936,2505076.2505293153,3547079.5535125374,931.0,F
9,No,88.0,67.79570659015086,1384961.656729192,1430091.304130318,1190.0,F
10,Si,25.0,56.4973371785315,455269.90436714987,2219803.697001217,140.0,M
11,No,89.0,72.12322446089439,7798283.067967284,3964701.8177149943,2627.0,M
12,Si,35.0,61.03212698702605,1611398.1095443857,2636840.4547485313,748.0,F
13,No,89.0,69.41089918127038,1490648.6205040147,1219490.2127334883,1704.0,M
14,No,87.0,69.56887004402628,10101656.229347609,4219070.955847649,3243.0,F
15,No,61.0,64.74471550831458,2261699.769672847,3983106.2363641397,645.0,M
16,No,89.0,67.49525547308451,6783400.161394858,3111144.9388000383,2911.0,M
17,Si,23.0,53.85589099428009,165951.0298260416,896474.376702321,105.0,M
18,Si,48.0,58.91535958648957,156632.88745976848,1401914.1113108944,150.0,F
19,No,95.0,69.91073062872127,4260062.10903927,1586104.1635498335,3696.0,F
20,No,61.0,63.623288222521936,2327079.221088873,3084791.700956371,860.0,F
21,No,40.0,57.1108670516143,1737788.065988361,3794443.703080369,440.0,F
22,Si,69.0,65.07291438517805,127043.45009392733,893791.142484686,153.0,F
23,Si,51.0,62.27961099191672,2215468.678408964,2857543.363007743,990.0,F
24,No,58.0,64.82590128195663,76033.63295824098,940478.3111484648,80.0,M
25,Si,75.0,66.51096024978351,1336004.5886586665,975544.5939304036,1767.0,F
26,No,22.0,53.159149917188174,230251.04285261966,2157430.1782547235,52.0,F
27,Si,41.0,64.93048696013798,1181237.7771264007,3531799.319505402,414.0,M
28,No,72.0,65.42216704629868,636902.9077837948,1351123.7018326498,594.0,M
29,No,51.0,62.62466154392106,1362234.235316272,3598139.8168286616,396.0,F
30,Si,81.0,70.26806969517293,819419.0760319483,3050920.471986546,252.0,M
31,No,37.0,60.34578610329473,1447552.4361733464,4077432.696137648,304.0,M
32,No,86.0,67.41459739746209,2050757.4491662264,1283705.3131225284,2108.0,F
33,Si,57.0,63.77538779100998,2400884.100362372,4054529.1670785258,741.0,M
34,Si,78.0,69.29910664388666,2360108.5061695767,4263754.6238925,660.0,M
35,Si,66.0,65.22938638862385,1827556.0145198684,4130940.694208467,432.0,F
36,No,76.0,67.87633431672377,208976.48576373854,2846869.3378482326,0.0,F
37,No,42.0,62.019340757918684,601415.5765376522,1527403.365881594,528.0,M
38,No,56.0,63.57061994484093,3001317.2404852184,2808459.1261303797,1444.0,M
39,Si,94.0,66.93559535488502,1285952.4041321112,1233025.3066779317,1444.0,M
40,No,78.0,67.6177745370314,2292419.483613919,2346374.598140062,1200.0,M
41,No,28.0,54.16412260612675,682370.2962315292,2530960.581875741,290.0,M
42,No,45.0,62.754690008130794,1626177.7753024856,2220806.4752692273,891.0,M
43,Si,65.0,65.0,951861.8964985558,1372400.4728639687,799.0,M
